Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age
Data Scientist,Employer Provided Salary:$45.00 - $55.00 Per Hour,"Data Scientist (Mid Level)
Location: Englewood, CO
(On-site day one. NO remote opportunities are available for this role. Please only apply if you are within the area or willing to relocate).
About the Role:
Our client is looking for a skilled and experienced Senior Data Scientist who excels in applying machine learning, deep learning and statistical modeling to solve data science problems. The ideal candidate will have the ability to translate complex business problems into data science problems and architect data science-based solutions. As a Senior Data Scientist, you will play a crucial role in leading and mentoring junior data scientists, while collaborating with cross-functional teams to drive data-driven decision-making and solve challenging business problems.",5.0,"APPIC Solutions LLC
5.0","Foster City, CA",1 to 50 Employees,2017,Company - Private,Software Development,Information Technology,$1 to $5 million (USD),45,55,50.0,APPIC Solutions LLC, CA,6
Data Scientist,Employer Provided Salary:$70K - $140K,"Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions

Explores, examines and interprets large volumes of data in various forms

Performs analyses of structured and unstructured data to solve moderately complex business problems

Utilizing advanced statistical techniques and mathematical analyses

Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs

Uses data visualization techniques to effectively communicate analytical results and support business decisions

Creates and evaluates the data needs of assigned projects and assures the integrity of the data

Explores existing data and recommends additional sources of data for improvements

Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics


The typical pay range for this role is:
Minimum: 70,000
Maximum: 140,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


1+ years of relevant analytic experience

1+Experience programming using R or Python

1+Experience in SQL


Demonstrates good written and verbal communication skills. Able to present information to various audiences

Effectively resolves problems and roadblocks as they occur

Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization

Ability to work with large data sets from multiple data sources


Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master's degree preferred


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1","New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),70,140,105.0,CVS Health, NY,60
Intelligence Data Engineer,$82K - $114K (Glassdoor est.),"Overview:
The Data Engineer is a member of the Intelligence team. The engineer will create ETL processes, develop data pipelines, conduct data analysis, create data visualizations, and help develop performance metrics in support of the customer. This work will be done as part of a team creating and supporting ViaPath's enterprise data lake from a large variety of data sources.

This remote/virtual position can be performed from anywhere in the continental US.
Responsibilities:
Develop and build data infrastructure for our customers to support data analytic needs.
Partner with internal business stakeholders to engineer batch and real-time streaming data pipelines
Qualifications:",3.3,"ViaPath Technologies
3.3","Dallas, TX",1001 to 5000 Employees,1989,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD),82,114,98.0,ViaPath Technologies, TX,34
AI Data Scientist,Employer Provided Salary:$65.00 - $75.00 Per Hour,"Role - AI Data Scientist
Location : Remote
Duration: 12- 18 months contract
Rate: $65- $75/hr on C2C
Job Description:
We are seeking a talented and enthusiastic AI Data Scientist to join our data analytics team. As an AI Data Scientist, you will be responsible for leveraging advanced data analysis and machine learning techniques to extract valuable insights from complex datasets and develop predictive models. Your work will play a crucial role in enhancing business decision-making processes and driving innovation through the application of artificial intelligence.",-1.0,Vandved Search,Remote,-1,-1,-1,-1,-1,-1,65,75,70.0,Vandved Search,Remote,-1
"Data Scientist, Bioinformatics",Employer Provided Salary:$125K - $170K,"About NewLimit
NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.
Position
NewLimit is seeing an outstanding data scientist to join our Predictive Modeling or Single Cell Genomics teams. Data-driven predictive modeling is one of the key enabling technologies of our research program, allowing us to predict the outcome and prioritize the next round of experiments to guide the design of our therapies.",-1.0,NewLimit,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,125,170,147.5,NewLimit, CA,-1
Data Scientist,$88K - $129K (Glassdoor est.),"ABOUT THE COMPANY
Our founders, food industry veterans Mike and Tisha, knew that food wasn't what it used to be, so they wanted to make it better - by creating a new kind of farm. A farm that grows up to 300 times more food than an ordinary farm on a smaller footprint, without a drop of pesticides. Farms powered with 100% renewable energy, growing with 95% less water and delivering food within 48 hours for longer freshness for our customers and less food waste.
80 Acres Farms is a vertical farming leader, operating commercial farms in Ohio, Kentucky, and soon-to-be Georgia in addition to research and development farms in Arkansas and The Hauge, Netherlands. All farms utilize state-of-the-art technology and analytics developed by the Company's subsidiary, Infinite Acres.
80 Acres Farms branded salads, microgreens, herbs, and tomatoes are available at retailers and food service distributors, including Kroger, Whole Foods, The Fresh Market, Dorothy Lane Markets, Sysco, and US Foods from Michigan to Florida. 80 Acres Farms is supported by world-class investors and partners, including General Atlantic, Siemens, Barclays, Ocado, Priva, and Signify/Philips.",3.4,"80 Acres Farms
3.4","Hamilton, OH",Unknown,-1,Company - Public,Crop Production,Agriculture,Unknown / Non-Applicable,88,129,108.5,80 Acres Farms, OH,-1
Data Scientist,$76K - $100K (Glassdoor est.),"To learn more about Arkansas Blue Cross and Blue Shield Hiring Policies, please click
here
.
Arkansas Blue Cross is only seeking applicants for remote positions from the following states:
Arkansas, Florida, Georgia, Illinois, Kansas, Louisiana, Minnesota, Mississippi, Oklahoma, South Carolina, Tennessee, Texas, Virginia and Wisconsin.
Workforce Scheduling
Flex
Job Summary
The Data Scientist uses the enterprise’s vast data repositories to identify key signals capable of predicting and optimizing the results of the enterprise’s business plan implementations. Incumbent exercises expert knowledge of available data, key business drivers, statistics, mathematics, and open-source software toolsets to derive relevant insights informing business decision-making. The incumbent regularly engages data mining techniques (data discovery, exploration, extraction, modeling, and evaluation) alongside software engineering tasks (software integration, deployment, and maintenance) to accomplish these responsibilities.
Assists in the development of machine learning pipelines and automate machine learning tasks as much as possible., Collaborates with team members (machine learning engineers and data analysts) to complete data pipelines for machine learning deployments, Debugs issues within machine learning pipelines and maintain their accuracy., Develops predictive and prescriptive models to assist business areas with decision-making on key initiatives of the Enterprise., Gathers and presents findings of models to other as necessary to assist understanding and explanation to the model., Identifies key data within available data that increases forecasting of performance., Monitors for data drift within models., Other duties as assigned., Stays abreast on machine learning techniques in the market through training and research.
Regular",4.1,"Arkansas Blue Cross and Blue Shield
4.1","Little Rock, AR",1001 to 5000 Employees,1948,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),76,100,88.0,Arkansas Blue Cross and Blue Shield, AR,75
Data Scientist Engineer,$89K - $130K (Glassdoor est.),"Position: Data Scientist Engineer
Location: Silver Spring, MD
Clearance Required: Public Trust
Status: Contingent upon contract award
Knowesis is looking for a Genomic Surveillance Specialist to support the Armed Forces Health Surveillance Branch (AFHSB) of the Defense Health Agency (DHA). To be eligible for this position, candidates must have the ability to obtain a Public Trust clearance and possess U.S. Citizenship without the need for sponsorship, both now and in the future. Applicants without proof of U.S. Citizenship will not be considered due to the position’s security clearance requirements.
The Job Duties and Responsibilities include but are not limited to the following:",4.5,"Knowesis
4.5","Silver Spring, MD",51 to 200 Employees,2007,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),89,130,109.5,Knowesis, MD,16
Data Scientist I - Hybrid,Employer Provided Salary:$78K - $111K,"See yourself at Radian? We see you here too.
At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.
Studies have shown that job seekers may hesitate to apply for jobs unless they meet every single qualification listed. We strive to see the potential in each applicant, so if you’re excited about this role but your experience or education level doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right candidate for this or other roles.
See Yourself as a Data Scientist I, MIRS",4.2,"Radian
4.2","New York, NY",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),78,111,94.5,Radian, NY,46
Decision Scientist,Employer Provided Salary:$70K - $140K,"Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions

Explores, examines and interprets large volumes of data in various forms

Performs analyses of structured and unstructured data to solve moderately complex business problems

Utilizing advanced statistical techniques and mathematical analyses

Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs

Uses data visualization techniques to effectively communicate analytical results and support business decisions

Creates and evaluates the data needs of assigned projects and assures the integrity of the data

Explores existing data and recommends additional sources of data for improvements

Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics


The typical pay range for this role is:
Minimum: 70,000
Maximum: 140,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


1+ years of relevant analytic experience, including the following:

Experience programming using R or Python

Experience in SQL


Demonstrates good written and verbal communication skills. Able to present information to various audiences

Effectively resolves problems and roadblocks as they occur

Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization

Ability to work with large data sets from multiple data sources


Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master's degree preferred


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1",Texas,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),70,140,105.0,CVS Health, TX,60
Data Scientist,Employer Provided Salary:$80K - $120K,"Description:

About the Company
Fast Growing Trees is one of the fastest-growing eCommerce companies in America. We enable people to live better, greener lives…one tree at a time. Founded in 2005, we have served over 1 million customers and continue to expand our market leadership and accelerate our growth within a fast-paced, entrepreneurial environment. We’re looking for leaders who want to make a positive difference every day.
About the Role
As a Data Scientist you will be responsible for building and maintaining demand planning models, setting inventory levels, and optimizing nursery space usage to ensure we are in stock for our customers. You will work with Merchandising and Marketing to understand key demand drivers to create realistic forward demand projections. You will analyze trend data and build automated tools to drive replenishment for our highly seasonal ecommerce business. Finally you will work with transportation, suppliers, and the nursery staff to ensure a steady flow of inventory to meet demand within space constraints. If you are passionate about using data to solve complex problems within Supply Chain, this is the role for you!
Requirements:",4.2,"FAST GROWING TREES LLC
4.2",Remote,51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable,80,120,100.0,FAST GROWING TREES LLC,Remote,18
Jr Data Scientist,$77K - $106K (Glassdoor est.),"Job Description :
Data Scientist will join a team responsible for developing advanced analytics products.
Applying data visualization and statistical programming tools to enterprise data to advance and enable the key mission outcomes.
In this role, you will support all phases of analytic work product development, from the identification of key business questions, through data collection, from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers.
Experience : 1 – 2 Years
Mandatory Skills And Qualifications :",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,77,106,91.5,Veracity Software, NJ,13
Data Mining Analyst,$63K - $91K (Glassdoor est.),"Kodak Alaris is a global technology company that’s delivering future value through customer solutions. Our advanced, patented intellectual property combines breakthrough technologies, digital transformation, and human know-how to unlock the power of images and information. We make businesses run faster, governments run smarter and provide consumers innovative solutions to preserve and enjoy their most cherished memories. Our future is powered by our employees’ creativity. Expect a lot from Kodak Alaris and know that we expect a lot of ourselves and the performance of the company.

Kodak Moments

Kodak Moments is a leading global provider of photo products and services to retailers, consumers, and entertainment properties. We inspire consumers to bring their memories to life--delivering innovative, high-quality photo products and experiences they find truly meaningful. Powered by over 100,000 consumer touchpoints across 30 countries globally, it's our mission to be the brand consumers choose to celebrate and preserve life's memories, from the big events to the everyday moments that matter.


Provide Data Mining Analyst support to the Hardware Systems Solutions Organization of the Kodak Moments division of Kodak Alaris. This position is hybrid role working out of our Rochester, NY office.





https://dol.ny.gov/posting-requirements-0

Kodak Alaris provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
As a member of the Kodak Alaris team you will be eligible to participate in our flexible benefits program which include paid flexible time off, health, dental and vision coverage, paid sick leave, paid parental leave, 401(k) plan with company match, short-term and long term disability coverage and life insurance.",4.0,"Kodak Alaris
4.0","Rochester, NY",1001 to 5000 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),63,91,77.0,Kodak Alaris, NY,10
Data Scientist,Employer Provided Salary:$40.00 - $45.00 Per Hour,"We are looking for a Data Scientist The Department is seeking a highly motivated and experienced Data Scientist to support the Customer Service Division (CSD) across 5 functional areas including the Call Center, Billing, Revenue, Logistics, and Field Services. Candidate must be willing to work ON-SITE from DAY 1
Primary Duties:
Create and maintain a dashboard using Power BI
Collect data from various sources to interpret, identify trends, summarize, illustrate, and succinctly report data findings and recommendations to achieve and maintain operational efficiencies.
Help bridge the gap between data and decision making to assist executives with making strategically guided decisions",-1.0,Cilable,"Richmond, VA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,40,45,42.5,Cilable, VA,-1
Aspire Tech Program - Data Scientist I,$67K - $96K (Glassdoor est.),"Job Description
LexisNexis Legal & Professional is a leading global provider of legal, regulatory, and business information and analytics that help customers increase productivity, improve decision-making and outcomes, and advance the rule of law around the world.
We help lawyers win cases, manage their work more efficiently, serve their clients better and grow their practices. We assist corporations in better understanding their markets and preventing bribery and corruption within their supply chains. We partner with leading global associations and customers to help collect evidence against war criminals and provide tools to combat human trafficking. We endeavor to Shape A More Just World!
About the Role
In this role you will…
Write and review portions of detailed specifications for the development of system components of simple complexity.",4.0,"RELX
4.0","Miamisburg, OH",10000+ Employees,1880,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),67,96,81.5,RELX, OH,143
